division_name,district_name,depot_code,length_to2,veh_total,veh_truck,avg_iri,length_ac,lanemin_ac,lanemax_ac,laneavg_ac,pavewidthavg_ac,shoulderwidthavg_ac,length_cc,lanemin_cc,lanemax_cc,laneavg_cc,pavewidthavg_cc,shoulderwidthavg_cc,bicyclelane_sqm,rest_area_sqm,sidewalk_sqm,retainingwall_sqm,roadmarking_sqm,road_medians_m,elevation_mean,elevation_var,slope_mean,slope_var,ค่าบำรุงตามระยะทางต่อ 2 ช่องจราจร,ค่าบำรุงทรัพย์สิน,จำนวนจุดกางเต็นท์,ค่าบำรุงจุดกางเต็นท์,จำนวนจุดพักรถ,ค่าบำรุงจุดพักรถ,จำนวนภูมิสถาปัตย์,ค่าบำรุงภูมิสถาปัตย์,พื้นที่ฝนชุก,sum_งบแผน68,bridge_m
สำนักงานทางหลวงที่ 18 (สงขลา),ขท.สงขลาที่ 1,311,718.5,1383993728,174531184,2.6982222222222223,249.258,1,8,4.444444444444445,3.714,5.0,27.281,2.0,10.0,5.142857142857143,3.492857142857143,5.0372,0.0,0.0,31795.915,14974.0,46223.153999999995,32681.0,18.305698505474034,60.63339306594592,-0.035941714635765204,14.665242673576072,43110000.0,4993000,0,0,0,0,0,0,4,20573476.0,17246.602
สำนักงานทางหลวงที่ 18 (สงขลา),ขท.ยะลา,312,557.192,1880891403,125911304,2.6982222222222223,557.192,1,8,4.444444444444445,3.714,5.0,0.0,2.0,10.0,5.142857142857143,3.492857142857143,5.0372,0.0,0.0,31795.915,14974.0,46223.153999999995,32681.0,18.305698505474034,60.63339306594592,-0.035941714635765204,14.665242673576072,33431520.0,2795800,0,0,1,300000,3,900000,2,24198050.16,7504.0
สำนักงานทางหลวงที่ 18 (สงขลา),ขท.ปัตตานี,313,536.765,1049852638,132556047,2.4987777777777778,536.765,1,8,4.444444444444445,3.714,5.0,0.0,2.0,10.0,5.142857142857143,3.492857142857143,5.0372,0.0,0.0,31795.915,14974.0,46223.153999999995,32681.0,18.305698505474034,60.63339306594592,-0.035941714635765204,14.665242673576072,32205900.0,2525100,2,600000,0,0,0,0,2,56319717.35,13095.525
สำนักงานทางหลวงที่ 16 (นครศรีธรรมราช),ขท.พัทลุง,314,585.505,2304304359,299072110,1.969,249.411,2,8,3.7142857142857144,3.5,5.0,3.9,4.0,4.0,4.0,3.5,4.9375,0.0,0.0,142427.25,0.0,179726.193,80513.558,30.83689249242039,195.5751083626831,-0.035907170389482955,17.145254710793548,35130300.0,2923900,0,0,3,900000,0,0,2,16076823.02,7998.2
สำนักงานทางหลวงที่ 18 (สงขลา),ขท.นราธิวาส,317,863.317,946556998,299063703,2.6982222222222223,863.317,1,8,4.444444444444445,3.714,5.0,0.0,2.0,10.0,5.142857142857143,3.492857142857143,5.0372,0.0,0.0,31795.915,14974.0,46223.153999999995,32681.0,18.305698505474034,60.63339306594592,-0.035941714635765204,14.665242673576072,51799020.0,3634700,0,0,0,0,0,0,4,38452908.22,14423.5
สำนักงานทางหลวงที่ 18 (สงขลา),ขท.สตูล,318,518.552,950402637,321027467,2.4987777777777778,356.032,2,6,3.111111111111111,3.5,5.0,9.478,4.0,4.0,4.0,3.4443333333333332,5.2,0.0,0.0,105579.07999999999,686.9000000000001,52829.42,71561.0,23.183759047721345,179.18492589419415,-0.46172039832114464,36.43252088351457,31113120.0,3423700,0,0,0,0,0,0,2,35219242.0,2927.0
สำนักงานทางหลวงที่ 18 (สงขลา),ขท.สงขลาที่ 2 (นาหม่อม),319,512.757,1249744605,436037927,2.4987777777777778,512.757,1,8,4.444444444444445,3.714,5.0,0.0,2.0,10.0,5.142857142857143,3.492857142857143,5.0372,0.0,0.0,31795.915,14974.0,46223.153999999995,32681.0,18.305698505474034,60.63339306594592,-0.035941714635765204,14.665242673576072,30765419.999999996,2094200,0,0,1,300000,0,0,4,15992685.75,5798.7
สำนักงานทางหลวงที่ 16 (นครศรีธรรมราช),ขท.นครศรีธรรมราชที่ 1,321,824.601,456253646,395057101,2.1472857142857142,522.0409999999999,2,6,3.2857142857142856,3.5,5.0,11.620000000000001,2.0,6.0,3.8,3.5,5.0,0.0,0.0,281391.29,43702.560000000005,141960.0087,196273.203,21.336416296836184,211.89181969718067,0.09878385231271354,22.083401539479954,49476060.0,4386300,1,300000,3,900000,0,0,4,20146537.0,16169.3
สำนักงานทางหลวงที่ 17 (กระบี่),ขท.ตรัง,322,781.685,852306494,292790676,2.258875,422.069,2,6,3.25,3.5,5.0,56.118,4.0,6.0,4.363636363636363,3.5,4.7272727272727275,157.4676,0.0,330600.03,37525.04,187080.3059999999,175107.56,34.60197949991788,276.6915983603831,0.04017527816166665,29.419706200871,46901100.0,4125700,1,300000,3,900000,0,0,2,13871166.91,7842.6
สำนักงานทางหลวงที่ 17 (กระบี่),ขท.กระบี่,323,752.712,3359867039,164262761,2.3249,377.016,2,8,3.8,3.5,5.0,6.803000000000001,6.0,8.0,7.5,,,0.0,0.0,117197.82,11469.8,154243.36000000002,128960.0,38.839193596870686,283.53395127428246,0.015192976744253659,32.891799195593705,45162720.0,3235000,0,0,0,0,5,1500000,2,9306767.82,4899.5
